Time_Min,Voltage(V),Current(A),Resistance(Ohm),Power(kW),Temp(C),Temp_Rise(C),Calculated_Energy(kWh),Tuya_Raw_Energy(kWh)
0.00,227.7,0,0,0.0,25,0,0.0000,42.18
0.02,227.8,1,227.8,0.228,25,0,0.0000,42.18
0.04,227.8,3,75.9,0.683,25,0,0.0002,42.18
0.06,227.8,4,57.0,0.911,25,0,0.0005,42.18
0.08,227.8,5,45.6,1.139,25,0,0.0008,42.18
0.10,227.6,7,32.5,1.593,25,0,0.0013,42.18
0.12,227.6,8,28.4,1.821,25,0,0.0018,42.18
0.14,228.1,8,28.5,1.825,25,0,0.0024,42.18
0.16,227.7,8,28.5,1.822,25,0,0.0030,42.18
0.18,227.7,8,28.5,1.822,25,0,0.0036,42.18
0.20,227.6,8,28.4,1.821,25,0,0.0043,42.18
0.22,227.7,8,28.5,1.822,25,0,0.0049,42.18
0.24,227.6,8,28.4,1.821,25,0,0.0055,42.19
0.26,227.6,8,28.4,1.821,25,0,0.0061,42.19
0.28,227.8,8,28.5,1.822,25,0,0.0067,42.19
0.30,227.4,8,28.4,1.819,25,0,0.0073,42.19
0.32,227.6,8,28.4,1.821,25,0,0.0079,42.19
0.34,228.0,8,28.5,1.824,25,0,0.0085,42.19
0.36,228.0,8,28.5,1.824,25,0,0.0091,42.19
0.38,227.8,8,28.5,1.822,25,0,0.0097,42.19
0.40,227.8,8,28.5,1.822,25,0,0.0103,42.19
0.42,227.6,8,28.4,1.821,25,0,0.0109,42.19
0.44,227.7,8,28.5,1.822,25,0,0.0115,42.19
0.46,228.0,8,28.5,1.824,25,0,0.0121,42.19
0.48,228.2,8,28.5,1.826,25,0,0.0128,42.19
0.50,227.9,8,28.5,1.823,25,0,0.0134,42.19
0.52,227.9,8,28.5,1.823,25,0,0.0140,42.19
0.54,228.2,8,28.5,1.826,25,0,0.0146,42.19
0.56,228.1,8,28.5,1.825,25,0,0.0152,42.20
0.58,228.3,8,28.5,1.826,25,0,0.0158,42.20
0.60,228.0,8,28.5,1.824,25,0,0.0164,42.20
0.62,228.2,8,28.5,1.826,25,0,0.0170,42.20
0.64,227.8,8,28.5,1.822,25,0,0.0176,42.20
0.66,228.2,8,28.5,1.826,25,0,0.0182,42.20
0.68,228.3,8,28.5,1.826,25,0,0.0188,42.20
0.70,228.5,8,28.6,1.828,25,0,0.0194,42.20
0.72,228.0,8,28.5,1.824,25,0,0.0201,42.20
0.74,228.1,8,28.5,1.825,25,0,0.0207,42.20
0.76,228.6,8,28.6,1.829,25,0,0.0213,42.20
0.78,228.2,8,28.5,1.826,25,0,0.0219,42.20
0.80,228.7,8,28.6,1.83,25,0,0.0225,42.20
0.82,228.1,8,28.5,1.825,25,0,0.0231,42.20
0.84,228.4,8,28.6,1.827,25,0,0.0237,42.20
0.86,228.6,8,28.6,1.829,25,0,0.0243,42.20
0.88,228.3,8,28.5,1.826,25,0,0.0249,42.20
0.90,228.6,8,28.6,1.829,25,0,0.0255,42.21
0.92,228.4,8,28.6,1.827,25,0,0.0261,42.21
0.94,228.4,8,28.6,1.827,25,0,0.0268,42.21
0.96,228.6,8,28.6,1.829,25,0,0.0274,42.21
0.98,228.3,8,28.5,1.826,25,0,0.0280,42.21
1.00,227.9,8,28.5,1.823,25,0,0.0286,42.21
1.02,228.3,8,28.5,1.826,25,0,0.0292,42.21
1.04,228.3,8,28.5,1.826,25,0,0.0298,42.21
1.06,227.8,8,28.5,1.822,25,0,0.0304,42.21
1.08,227.8,8,28.5,1.822,25,0,0.0310,42.21
1.10,228.0,8,28.5,1.824,25,0,0.0316,42.21
1.12,228.2,8,28.5,1.826,25,0,0.0322,42.21
1.14,228.0,8,28.5,1.824,25,0,0.0328,42.21
1.16,228.3,8,28.5,1.826,25,0,0.0334,42.21
1.18,228.2,8,28.5,1.826,25,0,0.0341,42.21
1.20,228.2,8,28.5,1.826,25,0,0.0347,42.21
1.22,228.2,8,28.5,1.826,25,0,0.0353,42.22
1.24,227.8,8,28.5,1.822,25,0,0.0359,42.22
1.26,228.3,8,28.5,1.826,25,0,0.0365,42.22
1.28,227.8,8,28.5,1.822,25,0,0.0371,42.22
1.30,228.3,8,28.5,1.826,25,0,0.0377,42.22
1.32,227.9,8,28.5,1.823,25,0,0.0383,42.22
1.34,228.1,8,28.5,1.825,25,0,0.0389,42.22
1.36,228.1,8,28.5,1.825,25,0,0.0395,42.22
1.38,227.8,8,28.5,1.822,25,0,0.0401,42.22
1.40,228.3,8,28.5,1.826,25,0,0.0407,42.22
1.42,228.0,8,28.5,1.824,25,0,0.0414,42.22
1.44,228.2,8,28.5,1.826,25,0,0.0420,42.22
1.46,228.1,8,28.5,1.825,25,0,0.0426,42.22
1.48,227.9,8,28.5,1.823,25,0,0.0432,42.22
1.50,228.0,8,28.5,1.824,25,0,0.0438,42.22
1.52,227.9,8,28.5,1.823,25,0,0.0444,42.22
1.54,228.2,8,28.5,1.826,25,0,0.0450,42.23
1.56,228.1,8,28.5,1.825,25,0,0.0456,42.23
1.58,228.1,8,28.5,1.825,25,0,0.0462,42.23
1.60,228.0,8,28.5,1.824,25,0,0.0468,42.23
1.62,228.2,8,28.5,1.826,25,0,0.0474,42.23
1.64,228.1,8,28.5,1.825,25,0,0.0480,42.23
1.66,228.2,8,28.5,1.826,25,0,0.0487,42.23
1.68,228.4,8,28.6,1.827,25,0,0.0493,42.23
1.70,228.1,8,28.5,1.825,25,0,0.0499,42.23
1.72,227.7,8,28.5,1.822,25,0,0.0505,42.23
1.74,227.9,8,28.5,1.823,25,0,0.0511,42.23
1.76,228.1,8,28.5,1.825,25,0,0.0517,42.23
1.78,227.7,8,28.5,1.822,25,0,0.0523,42.23
1.80,228.0,8,28.5,1.824,25,0,0.0529,42.23
1.82,227.7,8,28.5,1.822,25,0,0.0535,42.23
1.84,227.5,8,28.4,1.82,25,0,0.0541,42.23
1.86,228.2,8,28.5,1.826,25,0,0.0547,42.23
1.88,227.7,8,28.5,1.822,25,0,0.0553,42.24
1.90,228.1,8,28.5,1.825,25,0,0.0559,42.24
1.92,227.6,8,28.4,1.821,25,0,0.0566,42.24
1.94,228.0,8,28.5,1.824,25,0,0.0572,42.24
1.96,227.9,8,28.5,1.823,25,0,0.0578,42.24
1.98,227.8,8,28.5,1.822,25,0,0.0584,42.24
2.00,228.0,8,28.5,1.824,25,0,0.0590,42.24
2.02,228.2,8,28.5,1.826,25,0,0.0596,42.24
2.04,227.9,8,28.5,1.823,25,0,0.0602,42.24
2.06,227.9,8,28.5,1.823,25,0,0.0608,42.24
2.08,228.0,8,28.5,1.824,25,0,0.0614,42.24
2.10,227.8,8,28.5,1.822,25,0,0.0620,42.24
2.12,227.9,8,28.5,1.823,25,0,0.0626,42.24
2.14,227.9,8,28.5,1.823,25,0,0.0632,42.24
2.16,228.0,8,28.5,1.824,25,0,0.0638,42.24
2.18,227.9,8,28.5,1.823,25,0,0.0645,42.24
2.20,228.0,8,28.5,1.824,25,0,0.0651,42.25
2.22,228.1,8,28.5,1.825,25,0,0.0657,42.25
2.24,228.0,8,28.5,1.824,25,0,0.0663,42.25
2.26,228.4,8,28.6,1.827,25,0,0.0669,42.25
2.28,228.2,8,28.5,1.826,25,0,0.0675,42.25
2.30,228.3,8,28.5,1.826,25,0,0.0681,42.25
2.32,228.5,8,28.6,1.828,25,0,0.0687,42.25
2.34,228.3,8,28.5,1.826,25,0,0.0693,42.25
2.36,228.5,8,28.6,1.828,25,0,0.0699,42.25
2.38,228.2,8,28.5,1.826,25,0,0.0705,42.25
2.40,228.2,8,28.5,1.826,25,0,0.0711,42.25
